1,2026-04-14T14:53:49.455Z,22.94,0.051,-0.16,-1.049,1.062356814
2,2026-04-14T14:53:49.511Z,22.94,0.051,-0.16,-1.049,1.062356814
3,2026-04-14T14:53:49.513Z,22.94,0.051,-0.16,-1.049,1.062356814
4,2026-04-14T14:53:49.514Z,22.94,0.058,-0.156,-1.053,1.066071761
5,2026-04-14T14:53:49.516Z,22.94,0.051,-0.156,-1.053,1.065713845
6,2026-04-14T14:53:49.517Z,22.94,0.055,-0.152,-1.057,1.069288549
7,2026-04-14T14:53:49.519Z,22.94,0.051,-0.148,-1.053,1.064572215
8,2026-04-14T14:53:49.557Z,22.94,0.051,-0.148,-1.057,1.068528895
9,2026-04-14T14:53:49.558Z,22.94,0.055,-0.148,-1.049,1.060815724
10,2026-04-14T14:53:49.560Z,22.94,0.055,-0.152,-1.049,1.061381176
11,2026-04-14T14:53:49.566Z,22.94,0.055,-0.152,-1.053,1.065334689
12,2026-04-14T14:53:49.568Z,22.94,0.055,-0.156,-1.049,1.061961393
13,2026-04-14T14:53:49.572Z,22.94,0.051,-0.16,-1.049,1.062356814
14,2026-04-14T14:53:49.574Z,22.94,0.051,-0.156,-1.053,1.065713845
15,2026-04-14T14:53:49.576Z,22.94,0.055,-0.164,-1.049,1.063166027
16,2026-04-14T14:53:49.587Z,22.94,0.051,-0.156,-1.053,1.065713845
17,2026-04-14T14:53:49.632Z,22.94,0.051,-0.156,-1.053,1.065713845
18,2026-04-14T14:53:49.633Z,22.94,0.047,-0.156,-1.049,1.061577129
19,2026-04-14T14:53:49.634Z,22.94,0.051,-0.152,-1.049,1.061181417
20,2026-04-14T14:53:49.678Z,22.94,0.051,-0.148,-1.057,1.068528895
21,2026-04-14T14:53:49.678Z,22.94,0.051,-0.152,-1.057,1.069090267
22,2026-04-14T14:53:49.679Z,22.94,0.051,-0.148,-1.057,1.068528895
23,2026-04-14T14:53:49.679Z,22.94,0.058,-0.152,-1.057,1.069447053
24,2026-04-14T14:53:49.714Z,22.94,0.051,-0.156,-1.049,1.061761744
25,2026-04-14T14:53:49.715Z,22.94,0.051,-0.156,-1.053,1.065713845
26,2026-04-14T14:53:49.715Z,22.94,0.051,-0.16,-1.057,1.070256978
27,2026-04-14T14:53:49.716Z,22.94,0.055,-0.164,-1.053,1.067112927
28,2026-04-14T14:53:49.717Z,22.94,0.051,-0.16,-1.053,1.06630671
29,2026-04-14T14:53:49.767Z,22.94,0.051,-0.156,-1.057,1.069666303
30,2026-04-14T14:53:49.768Z,22.94,0.055,-0.16,-1.057,1.070455043
31,2026-04-14T14:53:49.769Z,22.94,0.051,-0.152,-1.049,1.061181417
32,2026-04-14T14:53:49.771Z,22.94,0.051,-0.152,-1.049,1.061181417
33,2026-04-14T14:53:49.772Z,22.94,0.051,-0.148,-1.049,1.060615859
34,2026-04-14T14:53:49.795Z,22.94,0.055,-0.148,-1.061,1.072683551
